"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","arrival_time_sort","timepoint"
"296200099","16:25:00","16:25:00","128","6","Laguna Niguel / Mission Viejo","0","16:25:00","1"
"296200099","16:30:00","16:30:00","145","7","Laguna Niguel / Mission Viejo","0","16:30:00","1"
"296200099","16:35:00","16:35:00","154","8","Laguna Niguel / Mission Viejo","0","16:35:00","1"
"296200099","16:41:00","16:41:00","156","9","Laguna Niguel / Mission Viejo","0","16:41:00","1"
"296200099","16:48:00","16:48:00","140","10","Laguna Niguel / Mission Viejo","0","16:48:00","1"
"296200099","16:57:00","16:57:00","141","11","Laguna Niguel / Mission Viejo","0","16:57:00","1"
"296200101","07:40:00","07:40:00","107","1","Laguna Niguel / Mission Viejo","0","07:40:00","1"
"296200101","08:05:00","08:05:00","143","2","Laguna Niguel / Mission Viejo","0","08:05:00","1"
"296200101","08:12:00","08:12:00","130","3","Laguna Niguel / Mission Viejo","0","08:12:00","1"
"296200101","08:18:00","08:18:00","174","4","Laguna Niguel / Mission Viejo","0","08:18:00","1"
"296200101","08:25:00","08:25:00","128","5","Laguna Niguel / Mission Viejo","0","08:25:00","1"
"296200101","08:30:00","08:30:00","145","6","Laguna Niguel / Mission Viejo","0","08:30:00","1"
"296200101","08:35:00","08:35:00","154","7","Laguna Niguel / Mission Viejo","0","08:35:00","1"
"296200101","08:41:00","08:41:00","156","8","Laguna Niguel / Mission Viejo","0","08:41:00","1"
"296200101","08:48:00","08:48:00","140","9","Laguna Niguel / Mission Viejo","0","08:48:00","1"
"296200101","08:57:00","08:57:00","141","10","Laguna Niguel / Mission Viejo","0","08:57:00","1"
"296200102","08:40:00","08:40:00","107","1","Oceanside","0","08:40:00","1"
"296200102","09:05:00","09:05:00","143","2","Oceanside","0","09:05:00","1"
"296200102","09:12:00","09:12:00","130","3","Oceanside","0","09:12:00","1"
"296200102","09:18:00","09:18:00","174","4","Oceanside","0","09:18:00","1"
"296200102","09:25:00","09:25:00","128","5","Oceanside","0","09:25:00","1"
"296200102","09:30:00","09:30:00","145","6","Oceanside","0","09:30:00","1"
"296200102","09:35:00","09:35:00","154","7","Oceanside","0","09:35:00","1"
"296200102","09:41:00","09:41:00","156","8","Oceanside","0","09:41:00","1"
"296200102","09:48:00","09:48:00","140","9","Oceanside","0","09:48:00","1"
"296200102","09:58:00","09:58:00","141","10","Oceanside","0","09:58:00","1"
"296200102","10:05:00","10:05:00","153","11","Oceanside","0","10:05:00","1"
"296200102","10:15:00","10:15:00","152","12","Oceanside","0","10:15:00","1"
"296200102","10:38:00","10:38:00","144","13","Oceanside","0","10:38:00","1"
"296200624","16:40:00","16:40:00","107","1","Oceanside","0","16:40:00","1"
"296200624","16:54:00","16:54:00","135","2","Oceanside","0","16:54:00","1"
"296200624","17:05:00","17:05:00","143","3","Oceanside","0","17:05:00","1"
"296200624","17:12:00","17:12:00","130","4","Oceanside","0","17:12:00","1"
"296200624","17:18:00","17:18:00","174","5","Oceanside","0","17:18:00","1"
"296200624","17:25:00","17:25:00","128","6","Oceanside","0","17:25:00","1"
"296200624","17:30:00","17:30:00","145","7","Oceanside","0","17:30:00","1"
"296200624","17:35:00","17:35:00","154","8","Oceanside","0","17:35:00","1"
"296200624","17:41:00","17:41:00","156","9","Oceanside","0","17:41:00","1"
"296200624","17:48:00","17:48:00","140","10","Oceanside","0","17:48:00","1"
"296200624","17:58:00","17:58:00","141","11","Oceanside","0","17:58:00","1"
"296200624","18:05:00","18:05:00","153","12","Oceanside","0","18:05:00","1"
"296200624","18:15:00","18:15:00","152","13","Oceanside","0","18:15:00","1"
"296200624","18:38:00","18:38:00","144","14","Oceanside","0","18:38:00","1"
"296200625","17:02:00","17:02:00","141","1","L.A. Union Station","0","17:02:00","1"
"296200625","17:12:00","17:12:00","140","2","L.A. Union Station","0","17:12:00","1"
"296200625","17:20:00","17:20:00","156","3","L.A. Union Station","0","17:20:00","1"
"296200625","17:26:00","17:26:00","154","4","L.A. Union Station","0","17:26:00","1"
"296200625","17:31:00","17:31:00","145","5","L.A. Union Station","0","17:31:00","1"
